index,pos,driver,gap,lap no
31,15,Antonio,+14.505,3
31,16,Romain,+15.139,3
31,17,George,+15.679,3
31,18,Nicholas,+16.204,3
31,19,Kimi,+16.854,3
31,20,Sebastian,+18.167,3
32,1,Valtteri,LEADER,3
32,2,Lewis,+0.889,3
32,3,Max,+3.113,3
32,4,Nico,+4.887,3
32,5,Lance,+6.217,3
32,6,Daniel,+7.326,3
32,7,Pierre,+8.181,3
32,8,Lando,+8.931,3
32,9,Alexander,+9.661,3
32,10,Charles,+10.345,3
32,11,Carlos,+11.295,3
32,12,Esteban,+12.396,3
32,13,Kevin,+13.300,3
32,14,Daniil,+13.486,3
32,15,Antonio,+14.458,3
32,16,Romain,+15.085,3
32,17,George,+15.598,3
32,18,Kimi,+16.155,3
32,19,Sebastian,+16.752,3
32,20,Nicholas,+18.174,3
33,1,Valtteri,LEADER,3
33,2,Lewis,+1.066,3
33,3,Max,+3.069,3
33,4,Nico,+4.871,3
33,5,Lance,+6.217,3
33,6,Daniel,+7.546,3
33,7,Pierre,+8.463,3
33,8,Lando,+9.372,3
33,9,Alexander,+10.031,3
33,10,Charles,+10.555,3
33,11,Carlos,+11.375,3
33,12,Esteban,+12.521,3
33,13,Kevin,+13.455,3
33,14,Daniil,+13.736,3
33,15,Antonio,+14.636,3
33,16,Romain,+15.127,3
33,17,George,+15.515,3
33,18,Kimi,+16.024,3
33,19,Sebastian,+16.693,3
33,20,Nicholas,+18.066,3
34,1,Valtteri,LEADER,3
34,2,Lewis,+0.856,3
34,3,Max,+3.097,3
34,4,Nico,+4.877,3
34,5,Lance,+6.286,3
34,6,Daniel,+7.513,3
34,7,Pierre,+8.522,3
34,8,Lando,+9.435,3
34,9,Alexander,+10.031,3
34,10,Charles,+10.555,3
34,11,Carlos,+11.702,3
34,12,Esteban,+12.804,3
34,13,Kevin,+13.750,3
34,14,Daniil,+14.351,3
34,15,Antonio,+15.011,3
34,16,Romain,+15.253,3
34,17,George,+15.816,3
34,18,Kimi,+16.236,3
34,19,Sebastian,+16.833,3
34,20,Nicholas,+18.299,3
35,1,Valtteri,LEADER,3
35,2,Lewis,+0.818,3
35,3,Max,+3.093,3
35,4,Nico,+4.819,3
35,5,Lance,+6.310,3
35,6,Daniel,+7.561,3
35,7,Pierre,+8.547,3
35,8,Lando,+9.455,3
35,9,Alexander,+10.183,3
35,10,Charles,+10.843,3
35,11,Carlos,+11.922,3
35,12,Esteban,+12.874,3
35,13,Kevin,+13.922,3
35,14,Daniil,+14.576,3
35,15,Antonio,+15.011,3
35,16,Romain,+15.604,3
35,17,George,+16.326,3
35,18,Kimi,+16.682,3
35,19,Sebastian,+17.083,3
35,20,Nicholas,+18.633,3
36,1,Valtteri,LEADER,3
36,2,Lewis,+0.953,3
36,3,Max,+3.148,3
36,4,Nico,+4.846,3
36,5,Lance,+6.289,3
36,6,Daniel,+7.599,3
36,7,Pierre,+8.336,3
36,8,Lando,+9.352,3
36,9,Alexander,+10.061,3
36,10,Charles,+10.522,3
36,11,Carlos,+11.989,3
36,12,Esteban,+12.930,3
36,13,Kevin,+13.977,3
36,14,Daniil,+14.585,3
36,15,Antonio,+15.249,3
36,16,Romain,+15.799,3
36,17,George,+16.501,3
36,18,Kimi,+16.963,3
36,19,Sebastian,+17.495,3
36,20,Nicholas,+18.754,3
37,1,Valtteri,LEADER,3
37,2,Lewis,+0.887,3
37,3,Max,+3.114,3
37,4,Nico,+5.075,3
37,5,Lance,+6.541,3
37,6,Daniel,+7.845,3
37,7,Pierre,+8.722,3
37,8,Lando,+9.760,3
37,9,Alexander,+10.061,3
37,10,Charles,+10.522,3
37,11,Carlos,+12.006,3
37,12,Esteban,+12.941,3
37,13,Kevin,+13.768,3
37,14,Daniil,+14.348,3
37,15,Antonio,+14.989,3
37,16,Romain,+15.513,3
37,17,George,+16.262,3
37,18,Kimi,+16.979,3
37,19,Sebastian,+17.474,3
37,20,Nicholas,+18.795,3
38,1,Valtteri,LEADER,3
38,2,Lewis,+0.887,3
38,3,Max,+3.107,3
38,4,Nico,+5.085,3
38,5,Lance,+6.611,3
38,6,Daniel,+7.812,3
38,7,Pierre,+8.709,3
38,8,Lando,+9.760,3
38,9,Alexander,+10.333,3
38,10,Charles,+11.093,3
38,11,Carlos,+12.326,3
38,12,Esteban,+13.286,3
38,13,Kevin,+14.231,3
38,14,Daniil,+14.348,3
38,15,Antonio,+15.015,3
38,16,Romain,+15.484,3
38,17,George,+16.232,3
38,18,Kimi,+16.714,3
38,19,Sebastian,+17.202,3
38,20,Nicholas,+18.816,3
39,1,Valtteri,LEADER,3
39,2,Lewis,+0.839,3
39,3,Max,+3.107,3
39,4,Nico,+5.063,3
39,5,Lance,+6.611,3
39,6,Daniel,+7.812,3
39,7,Pierre,+8.709,3
39,8,Lando,+9.949,3
39,9,Alexander,+10.338,3
39,10,Charles,+11.073,3
39,11,Carlos,+12.392,3
39,12,Esteban,+13.286,3
39,13,Kevin,+14.231,3
39,14,Daniil,+14.827,3
39,15,Antonio,+15.452,3
39,16,Romain,+16.005,3
39,17,George,+16.813,3
39,18,Kimi,+17.282,3
39,19,Sebastian,+17.728,3
39,20,Nicholas,+18.816,3
40,1,Valtteri,LEADER,3
40,2,Lewis,+0.847,3
40,3,Max,+3.194,3
40,4,Nico,+5.017,3
40,5,Lance,+6.546,3
40,6,Daniel,+7.854,3
40,7,Pierre,+8.720,3
40,8,Lando,+9.974,3
40,9,Alexander,+10.232,3
40,10,Charles,+11.072,3
40,11,Carlos,+12.392,3
40,12,Esteban,+13.301,3
40,13,Kevin,+14.590,3
40,14,Daniil,+14.815,3
40,15,Antonio,+15.698,3
40,16,Romain,+16.091,3
40,17,George,+17.062,3
40,18,Kimi,+17.378,3
40,19,Sebastian,+17.728,3
40,20,Nicholas,+19.150,3
41,1,Valtteri,LEADER,3
41,2,Lewis,+0.748,3
41,3,Max,+3.120,3
41,4,Nico,+5.072,3
41,5,Lance,+6.506,3
41,6,Daniel,+7.841,3
41,7,Pierre,+8.774,3
41,8,Lando,+9.997,3
41,9,Alexander,+10.247,3
41,10,Charles,+11.089,3
41,11,Carlos,+12.458,3
41,12,Esteban,+13.399,3
41,13,Kevin,+14.623,3
41,14,Daniil,+14.670,3
41,15,Antonio,+15.731,3
41,16,Romain,+16.054,3
41,17,George,+17.062,3
41,18,Kimi,+17.378,3
41,19,Sebastian,+18.221,3
41,20,Nicholas,+19.492,3
42,1,Valtteri,LEADER,3
42,2,Lewis,+0.833,3
42,3,Max,+3.126,3
42,4,Nico,+5.033,3
42,5,Lance,+6.422,3
42,6,Daniel,+8.059,3
42,7,Pierre,+8.904,3
42,8,Lando,+10.317,3
42,9,Alexander,+10.655,3
42,10,Charles,+11.444,3
42,11,Carlos,+12.512,3
42,12,Esteban,+13.446,3
42,13,Kevin,+14.648,3
42,14,Daniil,+14.708,3
42,15,Antonio,+15.724,3
42,16,Romain,+16.062,3
42,17,George,+17.061,3
42,18,Kimi,+17.294,3
42,19,Sebastian,+18.151,3
42,20,Nicholas,+19.482,3
43,1,Valtteri,LEADER,3
43,2,Lewis,+0.833,3
43,3,Max,+3.206,3
43,4,Nico,+5.163,3
43,5,Lance,+6.545,3
43,6,Daniel,+8.189,3
43,7,Pierre,+9.116,3
43,8,Lando,+10.377,3
43,9,Alexander,+10.744,3
43,10,Charles,+11.403,3
43,11,Carlos,+12.479,3
43,12,Esteban,+13.686,3
43,13,Kevin,+15.460,3
