overtaker,overtaken,date
andretti,fittipaldi,1993
andretti,patrese,1993
andretti,patrese,1993
andretti,wendlinger,1993
andretti,martini,1993
andretti,alesi,1993
andretti,berger,1993
andretti,lamy,1993
andretti,lamy,1993
martini,alboreto,1993
martini,alliot,1993
martini,katayama,1993
martini,comas,1993
lamy,badoer,1993
lamy,herbert,1993
lamy,martini,1993
tsuzuki,comas,1993
hakkinen,hill,1993
hakkinen,brundle,1993
hakkinen,berger,1993
irvine,gounon,1993
Katayama,Comas,1994
Katayama,Comas,1994
Katayama,Comas,1994
Katayama,Comas,1994
Katayama,Bernard,1994
Katayama,Bernard,1994
Katayama,Bernard,1994
Katayama,Bernard,1994
Katayama,Hakkinen,1994
Katayama,Hakkinen,1994
Katayama,Herbert,1994
Katayama,Wend linger,1994
Katayama,Barrichello,1994
Katayama,Berger,1994
Katayama,Adams,1994
Katayama,Zanardi,1994
Katayama,Irvine,1994
Katayama,Irvine,1994
Katayama,Morbidelli,1994
Katayama,Morbidelli,1994
Katayama,Morbidelli,1994
Katayama,Panis,1994
Katayama,Panis,1994
Katayama,Dalmas,1994
Katayama,Beretta,1994
Katayama,Frentzen,1994
Katayama,Fittipaldi,1994
Katayama,Gounon,1994
Katayama,Gounon,1994
Katayama,De Cesaris,1994
Katayama,Martini,1994
Katayama,Martini,1994
Katayama,Brabham,1994
Katayama,Alboreto,1994
Katayama,Alboreto,1994
Katayama,Alboreto,1994
Katayama,Alboreto,1994
Blundell,Brundle,1994
Blundell,Lehto,1994
Blundell,Herbert,1994
Blundell,Herbert,1994
Blundell,Salo,1994
Blundell,Barrichello,1994
Blundell,Panis,1994
Blundell,Panis,1994
Blundell,Panis,1994
Blundell,Dalmas,1994
Blundell,Beretta,1994
Blundell,Fittipaldi,1994
Blundell,Fittipaldi,1994
Blundell,Fittipaldi,1994
Blundell,Fittipaldi,1994
Blundell,Gounon,1994
Blundell,De Cesaris,1994
Blundell,Martini,1994
Blundell,Martini,1994
Blundell,Martini,1994
Blundell,Brabham,1994
Blundell,Alboreto,1994
Coulthard,Katayama,1994
Coulthard,Comas,1994
Coulthard,Bernard,1994
Coulthard,Hakkinen,1994
Coulthard,Herbert,1994
Coulthard,Herbert,1994
Coulthard,Barrichello,1994
Coulthard,Panis,1994
Coulthard,Panis,1994
Coulthard,Beretta,1994
Coulthard,Frentzen,1994
Coulthard,Frentzen,1994
Coulthard,Fittipaldi,1994
Coulthard,Fittipaldi,1994
Coulthard,De Cesaris,1994
Coulthard,Martini,1994
Coulthard,Brabham,1994
Brundle,Blundell,1994
Brundle,Comas,1994
Brundle,Comas,1994
Brundle,Alesi,1994
Brundle,Irvine,1994
Brundle,Morbidelli,1994
Brundle,Beretta,1994
Brundle,Beretta,1994
Brundle,Fittipaldi,1994
Brundle,Fittipaldi,1994
Brundle,Fittipaldi,1994
Brundle,Fittipaldi,1994
Brundle,De Cesaris,1994
Brundle,Martini,1994
Brundle,Brabham,1994
Hill,Coulthard,1994
Hill,Brundle,1994
Hill,Barrichello,1994
Hill,Barrichello,1994
Hill,Berger,1994
Hill,Verstappen,1994
Hill,Morbidelli,1994
Hill,Frentzen,1994
Hill,Fittipaldi,1994
Hill,Gounon,1994
Hill,Brabham,1994
Mansell,Comas,1994
Mansell,Hakkinen,1994
Mansell,Barrichello,1994
Mansell,Barrichello,1994
Mansell,Berger,1994
Mansell,Berger,1994
Mansell,Zanardi,1994
Mansell,De Cesaris,1994
Mansell,Martini,1994
Mansell,Alboreto,1994
Comas,Lehto,1994
Comas,Herbert,1994
Comas,Herbert,1994
Comas,Lamy,1994
Comas,Zanardi,1994
Comas,Ratzenberger,1994
Comas,Ratzenberger,1994
Comas,Panis,1994
Comas,De Cesaris,1994
Comas,Martini,1994
Comas,Martini,1994
Comas,Brabham,1994
Comas,Alboreto,1994
Comas,Alboreto,1994
Lehto,Brundle,1994
Lehto,Bernard,1994
Lehto,Zanardi,1994
Lehto,Panis,1994
Lehto,Beretta,1994
Lehto,De Cesaris,1994
Lehto,Martini,1994
Lehto,Brabham,1994
Lehto,Alboreto,1994
Schumacher,Bernard,1994
Schumacher,Alesi,1994
Schumacher,Panis,1994
Bernard,Comas,1994
Bernard,Herbert,1994
Bernard,Gachot,1994
Bernard,Zanardi,1994
Bernard,Verstappen,1994
Bernard,Morbidelli,1994
Bernard,Beretta,1994
Bernard,Beretta,1994
Bernard,Gounon,1994
Bernard,Gounon,1994
Bernard,De Cesaris,1994
Bernard,De Cesaris,1994
Bernard,Brabham,1994
Bernard,Brabham,1994
Bernard,Brabham,1994
Bernard,Alboreto,1994
Bernard,Alboreto,1994
Hakkinen,Barrichello,1994
Hakkinen,Barrichello,1994
Hakkinen,Barrichello,1994
Hakkinen,Verstappen,1994
Hakkinen,Verstappen,1994
Hakkinen,Beretta,1994
Hakkinen,Frentzen,1994
Herbert,Bernard,1994
Herbert,Adams,1994
Herbert,Dalmas,1994
Herbert,Fittipaldi,1994
Herbert,Fittipaldi,1994
Herbert,Gounon,1994
Herbert,De Cesaris,1994
Herbert,De Cesaris,1994
Herbert,Brabham,1994
Herbert,Brabham,1994
Herbert,Alboreto,1994
Salo,Lehto,1994
Salo,Lagorce,1994
Salo,Lagorce,1994
Wend linger,Suzuki,1994
Wend linger,Martini,1994
Alesi,Irvine,1994
Alesi,Panis,1994
Alesi,Frentzen,1994
Barrichello,Blundell,1994
Barrichello,Coulthard,1994
Barrichello,Mansell,1994
Barrichello,Lehto,1994
Barrichello,Hakkinen,1994
Barrichello,Irvine,1994
Barrichello,Morbidelli,1994
Barrichello,Frentzen,1994
Barrichello,De Cesaris,1994
Barrichello,Martini,1994
Berger,Brundle,1994
Berger,Irvine,1994
Berger,Verstappen,1994
Berger,Frentzen,1994
Lamy,Panis,1994
Adams,Gounon,1994
Zanardi,Katayama,1994
Zanardi,Bernard,1994
Zanardi,Gounon,1994
Zanardi,Brabham,1994
Alliot,Brabham,1994
Irvine,Panis,1994
